[2020-02-13T01:53:35,502] <db-server> INFO  db     - DbServer stopped
[2020-02-13T01:53:39,568] <db-server> INFO  db     - DbServer stopped
[2020-02-13T01:53:43,636] <db-server> INFO  db     - DbServer stopped
[2020-02-13T01:53:47,691] <db-server> INFO  db     - DbServer stopped
[2020-02-13T01:53:51,764] <db-server> INFO  db     - DbServer stopped
[2020-02-13T01:53:55,830] <db-server> INFO  db     - DbServer stopped
[2020-02-13T01:53:59,952] <db-server> INFO  db     - DbServer stopped
[2020-02-13T01:54:04,014] <db-server> INFO  db     - DbServer stopped
[2020-02-13T01:54:08,084] <db-server> INFO  db     - DbServer stopped
[2020-02-13T01:54:12,145] <db-server> INFO  db     - DbServer stopped
[2020-02-13T01:54:16,209] <db-server> INFO  db     - DbServer stopped
[2020-02-13T01:54:20,271] <db-server> INFO  db     - DbServer stopped
[2020-02-13T01:54:24,339] <db-server> INFO  db     - DbServer stopped
[2020-02-13T01:54:28,398] <db-server> INFO  db     - DbServer stopped
[2020-02-13T01:54:32,474] <db-server> INFO  db     - DbServer stopped
[2020-02-13T01:54:36,538] <db-server> INFO  db     - DbServer stopped
[2020-02-13T01:54:40,602] <db-server> INFO  db     - DbServer stopped
[2020-02-13T01:54:44,663] <db-server> INFO  db     - DbServer stopped
[2020-02-13T01:54:48,735] <db-server> INFO  db     - DbServer stopped
[2020-02-13T01:54:52,801] <db-server> INFO  db     - DbServer stopped
[2020-02-13T01:54:56,864] <db-server> INFO  db     - DbServer stopped
[2020-02-13T01:55:00,923] <db-server> INFO  db     - DbServer stopped
[2020-02-13T01:55:04,984] <db-server> INFO  db     - DbServer stopped
[2020-02-13T01:55:09,070] <db-server> INFO  db     - DbServer stopped
[2020-02-13T01:55:13,145] <db-server> INFO  db     - DbServer stopped
[2020-02-13T01:55:17,210] <db-server> INFO  db     - DbServer stopped
[2020-02-13T01:55:21,273] <db-server> INFO  db     - DbServer stopped
[2020-02-13T01:55:25,337] <db-server> INFO  db     - DbServer stopped
[2020-02-13T01:55:29,395] <db-server> INFO  db     - DbServer stopped
[2020-02-13T01:55:33,460] <db-server> INFO  db     - DbServer stopped
[2020-02-13T01:55:37,538] <db-server> INFO  db     - DbServer stopped
[2020-02-13T01:55:41,595] <db-server> INFO  db     - DbServer stopped
[2020-02-13T01:55:45,653] <db-server> INFO  db     - DbServer stopped
[2020-02-13T01:55:49,709] <db-server> INFO  db     - DbServer stopped
[2020-02-13T01:55:53,792] <db-server> INFO  db     - DbServer stopped
[2020-02-13T01:55:57,850] <db-server> INFO  db     - DbServer stopped
[2020-02-13T01:56:01,912] <db-server> INFO  db     - DbServer stopped
[2020-02-13T01:56:05,973] <db-server> INFO  db     - DbServer stopped
[2020-02-13T01:56:10,031] <db-server> INFO  db     - DbServer stopped
[2020-02-13T01:56:14,095] <db-server> INFO  db     - DbServer stopped
[2020-02-13T01:56:18,187] <db-server> INFO  db     - DbServer stopped
[2020-02-13T01:56:22,259] <db-server> INFO  db     - DbServer stopped
[2020-02-13T01:56:26,329] <db-server> INFO  db     - DbServer stopped
[2020-02-13T01:56:30,393] <db-server> INFO  db     - DbServer stopped
[2020-02-13T01:56:34,456] <db-server> INFO  db     - DbServer stopped
[2020-02-13T01:56:38,528] <db-server> INFO  db     - DbServer stopped
[2020-02-13T01:56:42,600] <db-server> INFO  db     - DbServer stopped
[2020-02-13T01:56:46,852] <db-server> INFO  db     - DbServer stopped
[2020-02-13T01:56:50,913] <db-server> INFO  db     - DbServer stopped
[2020-02-13T01:56:54,986] <db-server> INFO  db     - DbServer stopped
[2020-02-13T01:56:59,052] <db-server> INFO  db     - DbServer stopped
[2020-02-13T01:57:03,121] <db-server> INFO  db     - DbServer stopped
[2020-02-13T01:57:07,192] <db-server> INFO  db     - DbServer stopped
[2020-02-13T01:57:11,251] <db-server> INFO  db     - DbServer stopped
[2020-02-13T01:57:15,317] <db-server> INFO  db     - DbServer stopped
[2020-02-13T01:57:19,379] <db-server> INFO  db     - DbServer stopped
[2020-02-13T01:57:23,436] <db-server> INFO  db     - DbServer stopped
[2020-02-13T01:57:27,500] <db-server> INFO  db     - DbServer stopped
[2020-02-13T01:57:31,561] <db-server> INFO  db     - DbServer stopped
[2020-02-13T01:57:35,630] <db-server> INFO  db     - DbServer stopped
[2020-02-13T01:57:39,709] <db-server> INFO  db     - DbServer stopped
